2020-04-04 21:38:28.462 INFO  [21408] Logger 0 Initialized
2020-04-04 21:40:09.970 INFO  [14736] Logger 0 Initialized
2020-04-04 21:41:17.051 INFO  [2536] Logger 0 Initialized
2020-04-04 21:43:09.267 INFO  [8352] Logger 0 Initialized
2020-04-04 21:44:43.456 INFO  [20068] Logger 0 Initialized
2020-04-04 21:46:01.470 INFO  [3940] Logger 0 Initialized
2020-04-04 21:47:38.402 INFO  [11792] Logger 0 Initialized
2020-04-04 21:48:47.887 INFO  [18560] Logger 0 Initialized
2020-04-04 21:49:20.836 INFO  [21492] Logger 0 Initialized
2020-04-04 21:51:35.125 INFO  [21160] Logger 0 Initialized
2020-04-04 21:53:09.794 INFO  [8504] Logger 0 Initialized
