2020-06-06 14:36:25.772 INFO  [26016] Logger 0 Initialized
2020-06-06 14:39:47.497 INFO  [3828] Logger 0 Initialized
2020-06-06 14:39:53.471 INFO  [1292] Logger 0 Initialized
2020-06-06 14:39:57.035 INFO  [148] Logger 0 Initialized
2020-06-06 14:41:17.924 INFO  [3928] Logger 0 Initialized
2020-06-06 14:41:22.027 WARN  [27240] Timer miss rate of 1.001 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.033 WARN  [27240] Timer miss rate of 1.001 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.036 WARN  [27240] Timer miss rate of 1.001 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.038 WARN  [27240] Timer miss rate of 1.001 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.041 WARN  [27240] Timer miss rate of 1.001 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.044 WARN  [27240] Timer miss rate of 1.00099 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.057 WARN  [27240] Timer miss rate of 1.00099 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.061 WARN  [27240] Timer miss rate of 1.00099 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.071 WARN  [27240] Timer miss rate of 1.00099 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.074 WARN  [27240] Timer miss rate of 1.00099 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.077 WARN  [27240] Timer miss rate of 1.00099 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.081 WARN  [27240] Timer miss rate of 1.00099 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.084 WARN  [27240] Timer miss rate of 1.00099 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.087 WARN  [27240] Timer miss rate of 1.00099 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.090 WARN  [27240] Timer miss rate of 1.00099 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.092 WARN  [27240] Timer miss rate of 1.00098 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.095 WARN  [27240] Timer miss rate of 1.00098 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.098 WARN  [27240] Timer miss rate of 1.00098 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.101 WARN  [27240] Timer miss rate of 1.00098 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.104 WARN  [27240] Timer miss rate of 1.00098 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.106 WARN  [27240] Timer miss rate of 1.00098 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.109 WARN  [27240] Timer miss rate of 1.00098 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.112 WARN  [27240] Timer miss rate of 1.00098 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.115 WARN  [27240] Timer miss rate of 1.00098 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.118 WARN  [27240] Timer miss rate of 1.00098 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.121 WARN  [27240] Timer miss rate of 1.00097 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.124 WARN  [27240] Timer miss rate of 1.00097 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.127 WARN  [27240] Timer miss rate of 1.00097 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.130 WARN  [27240] Timer miss rate of 1.00097 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.133 WARN  [27240] Timer miss rate of 1.00097 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.136 WARN  [27240] Timer miss rate of 1.00097 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.139 WARN  [27240] Timer miss rate of 1.00097 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.143 WARN  [27240] Timer miss rate of 1.00097 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.146 WARN  [27240] Timer miss rate of 1.00097 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.149 WARN  [27240] Timer miss rate of 1.00097 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.152 WARN  [27240] Timer miss rate of 1.00097 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.155 WARN  [27240] Timer miss rate of 1.00096 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.158 WARN  [27240] Timer miss rate of 1.00096 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.161 WARN  [27240] Timer miss rate of 1.00096 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.164 WARN  [27240] Timer miss rate of 1.00096 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.167 WARN  [27240] Timer miss rate of 1.00096 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.170 WARN  [27240] Timer miss rate of 1.00096 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.173 WARN  [27240] Timer miss rate of 1.00096 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.177 WARN  [27240] Timer miss rate of 1.00096 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.180 WARN  [27240] Timer miss rate of 1.00096 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.183 WARN  [27240] Timer miss rate of 1.00096 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.187 WARN  [27240] Timer miss rate of 1.00096 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.190 WARN  [27240] Timer miss rate of 1.00095 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.194 WARN  [27240] Timer miss rate of 1.00095 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.197 WARN  [27240] Timer miss rate of 1.00095 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.200 WARN  [27240] Timer miss rate of 1.00095 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.204 WARN  [27240] Timer miss rate of 1.00095 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.207 WARN  [27240] Timer miss rate of 1.00095 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.209 WARN  [27240] Timer miss rate of 1.00095 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.212 WARN  [27240] Timer miss rate of 1.00095 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.215 WARN  [27240] Timer miss rate of 1.00095 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.217 WARN  [27240] Timer miss rate of 1.00095 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.220 WARN  [27240] Timer miss rate of 1.00095 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.222 WARN  [27240] Timer miss rate of 1.00094 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.225 WARN  [27240] Timer miss rate of 1.00094 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.228 WARN  [27240] Timer miss rate of 1.00094 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.231 WARN  [27240] Timer miss rate of 1.00094 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.234 WARN  [27240] Timer miss rate of 1.00094 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.237 WARN  [27240] Timer miss rate of 1.00094 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.241 WARN  [27240] Timer miss rate of 1.00094 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.245 WARN  [27240] Timer miss rate of 1.00094 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.248 WARN  [27240] Timer miss rate of 1.00094 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.251 WARN  [27240] Timer miss rate of 1.00094 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.254 WARN  [27240] Timer miss rate of 1.00094 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.257 WARN  [27240] Timer miss rate of 1.00093 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.260 WARN  [27240] Timer miss rate of 1.00093 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.263 WARN  [27240] Timer miss rate of 1.00093 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.267 WARN  [27240] Timer miss rate of 1.00093 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.270 WARN  [27240] Timer miss rate of 1.00093 exceeded acceptable rate of 0.01
2020-06-06 14:41:22.275 WARN  [27240] Timer miss rate of 1.00093 exceeded acceptable rate of 0.01
