2020-06-10 10:40:10.305 INFO  [20968] Logger 0 Initialized
2020-06-10 11:31:11.355 INFO  [24896] Logger 0 Initialized
2020-06-10 11:31:51.679 INFO  [5896] Logger 0 Initialized
2020-06-10 11:32:57.946 INFO  [23972] Logger 0 Initialized
2020-06-10 11:34:14.866 INFO  [7760] Logger 0 Initialized
2020-06-10 11:40:47.488 INFO  [24160] Logger 0 Initialized
2020-06-10 11:41:02.619 INFO  [16844] Logger 0 Initialized
2020-06-10 11:41:06.343 INFO  [24580] Logger 0 Initialized
2020-06-10 11:41:31.060 INFO  [23432] Logger 0 Initialized
2020-06-10 11:41:54.099 INFO  [18944] Logger 0 Initialized
2020-06-10 11:48:23.522 INFO  [8128] Logger 0 Initialized
2020-06-10 11:49:07.414 INFO  [23676] Logger 0 Initialized
