2020-06-06 14:22:55.980 INFO  [20700] Logger 0 Initialized
2020-06-06 14:26:54.687 INFO  [27584] Logger 0 Initialized
2020-06-06 14:48:09.118 INFO  [25124] Logger 0 Initialized
2020-06-06 15:02:27.713 INFO  [23828] Logger 0 Initialized
2020-06-06 15:06:28.759 INFO  [27424] Logger 0 Initialized
2020-06-06 15:44:10.233 INFO  [26384] Logger 0 Initialized
2020-06-07 12:09:41.093 INFO  [13192] Logger 0 Initialized
2020-06-07 15:23:02.099 INFO  [5724] Logger 0 Initialized
2020-06-07 15:25:34.716 INFO  [25464] Logger 0 Initialized
2020-06-07 16:20:52.696 INFO  [19380] Logger 0 Initialized
2020-06-07 16:28:01.003 INFO  [24636] Logger 0 Initialized
2020-06-07 16:30:08.872 INFO  [26000] Logger 0 Initialized
